Willesden_Green-Sloane_Square-Sloane_Square-Highbury_&_Islington-Highbury_&_Islington-Willesden_Green-end,1
Willesden_Green-Wembley_Park-end,1
Willesden_Green-London_Bridge_LU-London_Bridge_NR-London_Bridge_NR-London_Bridge_LU-Willesden_Green-end,1
Waterloo_LU-Kilburn_Park-end,1
Willesden_Green-Charing_Cross_LU-Swiss_Cottage-Willesden_Green-end,1
Willesden_Green-Swiss_Cottage-Finchley_Road-Walthamstow_Central-end,1
Baker_Street-Waterloo_LU-London_Bridge_LU-Kilburn_Park-end,1
Willesden_Green-South_Kensington-Westminster-Willesden_Green-end,1
West_Hampstead_LU-Southwark-London_Bridge_LU-West_Hampstead_LU-end,1
West_Hampstead_LU-Waterloo_LU-London_Bridge_LU-West_Hampstead_LU-end,1
Willesden_Green-Charing_Cross_LU-end,2
Willesden_Green-Charing_Cross_LU-Charing_Cross_LU-Kilburn_Park-end,1
